order_name,id_reversa,reverse_type,data_compra,data_entrega,data_reversa,dias_compra_ate_reversa,mes_compra,tipo,bucket
IN-3861889-ENTR-0626,543dde0c-5ef7-4fad-8307-be3756fabf9c,Troca,2026-04-04,2026-06-08,2026-06-09,66,2026-04,Troca,61d+
IN-3060164,a25dc579-b011-4421-8948-5e56c0e70d11,Troca,2025-11-03,2025-11-11,2025-12-04,31,2025-11,Troca,31–60d
IN-3230593,b9a16160-734e-4280-8ffe-675f1b24cfad,Troca,2025-11-27,2025-12-02,2025-12-26,29,2025-11,Troca,16–30d
IN-3266837,8d9c28a3-ee4a-450f-b716-0f7b72f91676,Troca,2025-11-28,2025-12-04,2026-02-12,76,2025-11,Troca,61d+
IN-3283126-ENTR-0126,47216c05-55fe-4d21-ad07-eee7965fd8c9,Troca,2025-11-29,2025-12-23,2025-12-31,32,2025-11,Troca,31–60d
IN-2858584,e64acc74-cc47-46b6-8f8e-cebe9c0a7ee1,Troca,2025-09-19,2025-09-26,2025-11-25,67,2025-09,Troca,61d+
IN-3116633,30adf6bd-88da-4a9c-9b5c-60b05a941bf3,Troca,2025-11-11,2025-11-24,2025-12-18,37,2025-11,Troca,31–60d
IN-3176147,0bac1302-1d1c-4a9e-ac24-aa4ff484f06b,Troca,2025-11-20,2025-11-28,2026-03-24,124,2025-11,Troca,61d+
IN-3302357-ENTR-0126,0c01e3ed-acb2-4442-a8a2-99e499bd1d99,Troca,2025-11-30,2026-03-02,2026-03-21,111,2025-11,Troca,61d+
IN-3652485,7c2d8c3b-c33d-4bf5-8a34-d7b2195b4e0d,Troca,2026-02-17,2026-02-23,2026-03-27,38,2026-02,Troca,31–60d
IN-2774994-ENTR-1225,20b6c2f6-23b5-4bd7-b0a4-dad97cc41e3e,Troca,2025-08-31,2025-10-24,2025-10-23,53,2025-08,Troca,31–60d
IN-3303878,793081d6-a62f-4df9-b4e3-2c589fafe798,Troca,2025-11-30,2025-12-10,2025-12-29,29,2025-11,Troca,16–30d
IN-3563887,93a517da-bc4a-4bf0-ae44-7fab783c337f,Troca,2026-01-22,2026-01-26,2026-03-01,38,2026-01,Troca,31–60d
IN-3755779,65b089ee-865a-4909-b6de-de954135d4c4,Troca,2026-03-14,2026-03-18,2026-06-02,80,2026-03,Troca,61d+
IN-3205712-ENTR-1225,5108fea5-0ad6-4ecf-a74f-9ee7fb91e201,Troca,2025-11-25,2025-12-09,2026-02-03,70,2025-11,Troca,61d+
IN-3241603-ENTR-0126,fbd039bb-d294-4cfc-b67d-8844d7bd5a7f,Troca,2025-11-28,2026-01-08,2026-01-08,41,2025-11,Troca,31–60d
IN-3313103,dbeddb09-cce2-4796-874f-302ca5602742,Troca,2025-12-01,2025-12-07,2026-05-07,157,2025-12,Troca,61d+
IN-3887143,a2979db5-5f6c-4496-96fc-4f21ac54096b,Troca,2026-04-10,2026-04-15,2026-07-29,110,2026-04,Troca,61d+
IN-2723349-ENTR-1125,f7c55852-ea87-4600-850f-3d73cf24b01b,Troca,2025-08-17,2025-09-23,2025-10-17,61,2025-08,Troca,61d+
IN-2793135-ENTR-1025,847fc2b0-fd8d-4fef-8ae6-bc4e2dfad0ab,Troca,2025-09-04,2025-10-23,2025-10-23,49,2025-09,Troca,31–60d
IN-2881395-ENTR-1125,d63b2eea-876a-4b46-a08a-8e7fd7fac8af,Troca,2025-09-25,2025-11-01,2025-11-02,38,2025-09,Troca,31–60d
IN-2993169-ENTR-0126,7d63cdcc-7997-48d4-bb42-ef02da067ab2,Troca,2025-10-18,2025-11-18,2025-11-19,32,2025-10,Troca,31–60d
IN-3278245-ENTR-0326,099d2d1c-5eb5-4002-ba0e-d9e675744f20,Troca,2025-11-29,2026-01-12,2026-01-13,45,2025-11,Troca,31–60d
IN-3306100-SN,d6bfd1ad-b41a-4917-b38a-4f88abae9995,Troca,2025-12-01,2025-12-15,2026-03-31,120,2025-12,Troca,61d+
IN-3703498,fab478d8-87df-46aa-85c5-6ec94d580aa6,Troca,2026-03-03,2026-03-06,2026-05-11,69,2026-03,Troca,61d+
IN-3915429-ENTR-0626,23a463bd-9ab3-4874-9e42-93ee4b0407e2,Troca,2026-04-19,2026-05-21,2026-05-21,32,2026-04,Troca,31–60d
IN-3037989-ENTR-0126,379a9fb8-1fbe-47c3-bfe1-e4425b0eecac,Troca,2025-10-29,2025-12-15,2025-12-17,49,2025-10,Troca,31–60d
IN-3300899-ENTR-0126,591c3faa-4401-49bf-992f-521d5415a510,Troca,2025-11-30,2026-01-13,2026-01-20,51,2025-11,Troca,31–60d
IN-3423488,f36b5656-7182-42e8-97c4-b2b95aa80c1f,Troca,2025-12-18,2026-01-07,2026-02-02,46,2025-12,Troca,31–60d
IN-3868326,233285f2-e1dc-4aed-aba3-950e048b0e4c,Devolução,2026-04-06,2026-04-09,2026-06-22,77,2026-04,Devolução,61d+
IN-2693816-ENTR-0925,737ad367-16eb-4caa-9a6d-6fd105158071,Troca,2025-08-10,2025-09-11,2025-09-25,46,2025-08,Troca,31–60d
IN-2732410-ENTR-1225,703c95c7-cce3-43bd-82b0-0684e02cc671,Troca,2025-08-20,2025-12-19,2025-12-19,121,2025-08,Troca,61d+
IN-2804823,58911428-29e8-4f5b-9717-76ad8db1920d,Troca,2025-09-07,2025-09-22,2025-11-24,78,2025-09,Troca,61d+
IN-2850023-ENTR-1225,0028bfae-ecc6-40a4-9ea3-c2939974f1c4,Troca,2025-09-17,2025-11-21,2025-11-21,65,2025-09,Troca,61d+
IN-3553293-ENTR-0226,80e7c401-42cb-4461-99fa-5dc454464602,Troca,2026-01-19,2026-02-25,2026-03-04,44,2026-01,Troca,31–60d
IN-3925075,8de046f3-634a-464c-b596-a040ac48120e,Troca,2026-04-22,2026-04-25,2026-05-21,29,2026-04,Troca,16–30d
IN-3316039-ENTR-0126,09b2bfa8-ad6d-49f9-9403-341cb9037cf4,Troca,2025-12-02,2025-12-30,2025-12-31,29,2025-12,Troca,16–30d
IN-2996972,0e9784f9-7ac7-4b9d-9c98-6949ae6c4260,Troca,2025-10-19,2025-10-23,2025-11-23,35,2025-10,Troca,31–60d
IN-3097246,8a98665c-796d-4ff1-a438-a36e0788b1d6,Troca,2025-11-09,2025-11-18,2026-01-13,65,2025-11,Troca,61d+
IN-3313508,15edb3a5-9c85-47b7-8cd0-820b28cab636,Troca,2025-12-01,2025-12-08,2026-01-03,33,2025-12,Troca,31–60d
IN-3890117,83e3860b-27cd-488a-93bf-dad87acce4bb,Troca,2026-04-11,2026-04-22,2026-05-11,30,2026-04,Troca,16–30d
IN-2760033,5c27299d-3858-4e13-8804-d714d2ac8526,Troca,2025-08-27,2025-08-29,2025-10-14,48,2025-08,Troca,31–60d
IN-2912947,ccbbbea5-bd9f-443f-bfdf-e6265ee0b519,Troca,2025-10-05,2025-10-14,2025-11-09,35,2025-10,Troca,31–60d
IN-3345437-ENTR-0426,f068f2fa-ef43-4420-9641-5cd5e8744ac1,Troca,2025-12-07,2026-07-17,2026-07-27,232,2025-12,Troca,61d+
IN-3437767-ENTR-0326,44ec4e8b-a600-4f12-8acc-14115b2923cf,Troca,2025-12-22,2026-02-19,2026-02-23,63,2025-12,Troca,61d+
IN-3894233,62869414-57fa-4a8a-9f83-93c50ef0b6a2,Troca,2026-04-12,2026-04-13,2026-06-24,73,2026-04,Troca,61d+
IN-2807301,a512c6ca-6519-41d9-a158-1975152cd7c8,Troca,2025-09-08,2025-09-12,2025-10-23,45,2025-09,Troca,31–60d
IN-3069692,8cd6b8d7-e13e-47d0-abec-5e60eb22c196,Troca,2025-11-05,2025-11-20,2025-12-04,29,2025-11,Troca,16–30d
IN-3080313,fa6580a3-98f0-4fcc-8716-c31403a8c689,Troca,2025-11-06,2025-11-17,2025-12-05,29,2025-11,Troca,16–30d
IN-3477660,aec04e26-eaff-4599-bd66-1f949eb53490,Troca,2026-01-02,2026-01-07,2026-06-12,161,2026-01,Troca,61d+
IN-3643360,62ac71be-a071-43db-a626-52c26f469817,Troca,2026-02-14,2026-02-19,2026-03-19,33,2026-02,Troca,31–60d
IN-3734670,1980ed04-7a93-4553-be72-ae1a1a6211f9,Troca,2026-03-10,2026-03-14,2026-04-22,43,2026-03,Troca,31–60d
IN-3224956-ENTR-0326,f3a4bf80-bca8-4e0b-bea4-3d0843c6fe8b,Troca,2025-11-27,2026-02-06,2026-02-09,74,2025-11,Troca,61d+
IN-3989752-ENTR-0626,2f2a3e5c-cef8-4ab2-a9e4-26eda04487dd,Troca,2026-05-16,2026-06-26,2026-06-27,42,2026-05,Troca,31–60d
IN-3073639,6b4b7962-9aa6-4664-949c-72dfc31b4931,Troca,2025-11-06,2025-11-20,2026-05-07,182,2025-11,Troca,61d+
IN-3254302,e1a69edb-2942-4317-848a-afd57545a5a3,Troca,2025-11-28,2025-12-08,2026-01-20,53,2025-11,Troca,31–60d
IN-3940502,582f3047-a5bd-4ab6-bbc7-e3992ec69ad2,Troca,2026-04-28,2026-05-05,2026-06-15,48,2026-04,Troca,31–60d
IN-3962863,5d641bd9-9b6a-4789-b5cc-0e36a2f82ba7,Devolução,2026-05-06,2026-05-19,2026-06-08,33,2026-05,Devolução,31–60d
IN-4007889-ENTR-0726,7cc1f4d7-e749-4099-b5c0-97e4691fd3b3,Troca,2026-05-22,2026-07-06,2026-07-24,63,2026-05,Troca,61d+
IN-2665089,ac9a26d9-8060-4ec6-bf9f-047862f0cc9f,Troca,2025-08-05,2025-08-11,2026-01-30,178,2025-08,Troca,61d+
IN-2733025-ENTR-1025,025e765d-2260-467f-b637-b30ff90b0a0c,Troca,2025-08-20,2025-09-26,2025-09-26,37,2025-08,Troca,31–60d
IN-3112792-ENTR-1225,0c797975-320b-4d7a-b310-31bd82a524c3,Troca,2025-11-11,2025-12-21,2026-01-02,52,2025-11,Troca,31–60d
IN-3262513-SN,153da6e0-fb4f-4232-adf9-1d288eccf6ce,Troca,2025-11-28,2025-12-09,2026-01-19,52,2025-11,Troca,31–60d
IN-3295905,911d998a-20f8-49d5-9ff6-77593cc6ea49,Troca,2025-11-30,2025-12-13,2025-12-29,29,2025-11,Troca,16–30d
IN-3744988,0b78c490-c855-40a7-9aee-bd9af020095b,Troca,2026-03-11,2026-03-14,2026-04-09,29,2026-03,Troca,16–30d
IN-3342601,a42ea02b-fb0f-4c99-bf57-1affe0bd481e,Troca,2025-12-06,2025-12-12,2026-01-05,30,2025-12,Troca,16–30d
IN-3404819,ff6767cc-ccfd-4ea9-8289-a9b3bdef7782,Troca,2025-12-15,2025-12-26,2026-02-20,67,2025-12,Troca,61d+
IN-3605087,15824e2f-df1b-4b2a-8c52-bb3c451aa6a0,Troca,2026-02-03,2026-02-14,2026-04-13,69,2026-02,Troca,61d+
IN-3955067-ENTR-0626,79c0677a-9325-437d-af23-b09fa6d1f40b,Devolução,2026-05-03,2026-06-22,2026-06-24,52,2026-05,Devolução,31–60d
IN-3344960,c5911363-262c-46b9-a610-ef25a9f00f59,Devolução,2025-12-07,2026-01-09,2026-01-09,33,2025-12,Devolução,31–60d
IN-3466299,d347c02b-b2da-42cd-a843-c78b8029c400,Troca,2025-12-30,2026-01-13,2026-02-04,36,2025-12,Troca,31–60d
IN-3837661,f389eef8-7b85-47e7-8856-b73c95e74aa6,Troca,2026-03-29,2026-04-02,2026-07-01,94,2026-03,Troca,61d+
IN-3944150,036cfefb-f0da-4591-9a12-112f8c564c7e,Troca,2026-04-30,2026-05-11,2026-05-30,30,2026-04,Troca,16–30d
IN-3957154,3e45a766-8b3f-4daa-8a54-fc3cc1cc97e1,Troca,2026-05-04,2026-05-05,2026-06-04,31,2026-05,Troca,31–60d
IN-4091099,2b0b3cc5-ea55-456f-aa53-494d214b7252,Devolução,2026-06-20,2026-06-29,2026-08-02,43,2026-06,Devolução,31–60d
IN-3184949,f30dbd23-fb53-4f36-93ac-4009d5c35986,Troca,2025-11-22,2025-11-26,2025-12-29,37,2025-11,Troca,31–60d
IN-3242757-ENTR-0126,9b74428f-b1c3-4939-a753-9d85d39bf508,Troca,2025-11-28,2026-01-16,2026-01-20,53,2025-11,Troca,31–60d
IN-3641091,33c469f4-fd13-42e8-ae79-d771207471eb,Troca,2026-02-13,2026-02-23,2026-05-07,83,2026-02,Troca,61d+
IN-4047764-ENTR-0726,e00440cf-23c0-43ea-8d24-695f689fbaf2,Devolução,2026-06-04,2026-07-14,2026-07-13,39,2026-06,Devolução,31–60d
IN-3783687,638fecce-8967-40cb-9549-d64602c303e7,Troca,2026-03-18,2026-03-26,2026-06-13,87,2026-03,Troca,61d+
IN-2690280-ENTR-0925,ceca5f8e-41f3-422a-872e-a089a8ebb335,Troca,2025-08-09,2025-09-27,2025-09-27,49,2025-08,Troca,31–60d
IN-2813619,646316c9-4e78-4ee1-b9be-4273e3fbfcca,Troca,2025-09-09,2025-09-18,2025-10-21,42,2025-09,Troca,31–60d
IN-3166192,620c1bec-4312-4731-94d8-f58a5986bf5d,Troca,2025-11-19,2025-11-24,2026-01-05,47,2025-11,Troca,31–60d
IN-3416624-ENTR-0126,7db4b644-ecd2-48dc-91c2-0d7c255d61d2,Devolução,2025-12-17,2026-04-01,2026-06-05,170,2025-12,Devolução,61d+
IN-3625532,19c4f672-072b-4755-a4b4-2d8f7129b9a6,Troca,2026-02-09,2026-02-12,2026-03-10,29,2026-02,Troca,16–30d
IN-3775373,81d30d14-ec59-45dc-9a8c-041c4ec7645e,Troca,2026-03-16,2026-04-11,2026-04-15,30,2026-03,Troca,16–30d
IN-3986890-ENTR-0626,70e4c1e8-f52c-43fb-a64c-c6450ba97a08,Devolução,2026-05-15,2026-06-25,2026-06-26,42,2026-05,Devolução,31–60d
IN-2968814-ENTR-0126,1ecd2cf2-2705-4ee8-9d71-72af2d7807ca,Troca,2025-10-11,2025-12-12,2025-12-16,66,2025-10,Troca,61d+
IN-3842708,69bc20aa-65a1-45b6-a0e8-a257300e3128,Troca,2026-03-30,2026-04-07,2026-05-03,34,2026-03,Troca,31–60d
IN-3851584,f2a92551-ed16-400d-8c61-ee481e38791a,Troca,2026-04-01,2026-04-16,2026-05-06,35,2026-04,Troca,31–60d
IN-2775592,c3154b47-7ec0-4628-a623-c56307ca7bb7,Troca,2025-08-31,2025-09-03,2026-01-19,141,2025-08,Troca,61d+
IN-3260441,21b0e390-06c0-4baa-bea4-6444c85fa1a4,Troca,2025-11-28,2025-12-08,2026-02-02,66,2025-11,Troca,61d+
IN-3615825,ecf2bebc-39d9-4b9c-90f5-a8bb1f7c3166,Troca,2026-02-06,2026-02-11,2026-04-27,80,2026-02,Troca,61d+
IN-2887923,f5fe2bd9-805f-456e-b742-bc502d4d1f3a,Troca,2025-09-27,2025-10-01,2025-11-27,61,2025-09,Troca,61d+
IN-2896178-ENTR-1225,09099be3-52c7-4009-9c09-195ceaff9fcf,Troca,2025-09-30,2025-10-07,2025-11-02,33,2025-09,Troca,31–60d
IN-3463785-ENTR-0326,9ce54219-6b48-4e73-961f-3a3bee3e64e3,Troca,2025-12-29,2026-03-09,2026-03-18,79,2025-12,Troca,61d+
IN-3646671-ENTR-0326,2669db1c-7f03-46cd-9dd3-8ff55cb31ba5,Troca,2026-02-15,2026-03-16,2026-03-16,29,2026-02,Troca,16–30d
IN-2688412-ENTR-0925,87cb2cb0-b6bc-4dad-9dc1-4e6d92c1962c,Troca,2025-08-09,2025-09-29,2025-09-30,52,2025-08,Troca,31–60d
IN-3244261-ENTR-0126,1fd0d9a1-129f-46e6-89ab-8e821fe87a04,Troca,2025-11-28,2025-12-12,2025-12-27,29,2025-11,Troca,16–30d
IN-3302410-ENTR-0326,c7acf89f-6a0b-4665-9de7-d73ed3b2a7ae,Troca,2025-11-30,2026-01-12,2026-01-12,43,2025-11,Troca,31–60d
IN-3604596,3c6e9d12-1c39-4f3e-91ff-b5f98800acdc,Troca,2026-02-03,2026-02-10,2026-03-16,41,2026-02,Troca,31–60d
IN-2960102-SN,30736de4-ad56-4212-b0f2-3382d4fe6fd6,Troca,2025-10-09,2025-10-13,2025-12-29,81,2025-10,Troca,61d+
IN-3381236-SN,ae0fa952-f18c-4b66-8b99-55e0589a182a,Troca,2025-12-12,2025-12-19,2026-01-13,32,2025-12,Troca,31–60d
IN-2668756-ENTR-0925,157b12a9-edf8-4169-86cf-94080a28367f,Troca,2025-08-05,,2025-09-27,53,2025-08,Troca,31–60d
IN-3155234-ENTR-0126,ff0f00f4-b242-4e48-b4ca-46c4e58bbbc3,Troca,2025-11-17,2026-04-02,2026-04-06,140,2025-11,Troca,61d+
IN-3291243-ENTR-0126,54b3ea95-b0bd-4bf1-a45c-d3c42fbcd5b7,Devolução,2025-11-30,2026-02-28,2026-02-28,90,2025-11,Devolução,61d+
IN-3430052,e3a34fd6-da37-4e48-b825-a4b7bdea517a,Troca,2025-12-20,2025-12-26,2026-05-26,157,2025-12,Troca,61d+
IN-3860543-ENTR-0526,45e55ec2-1d6a-4aeb-aa35-17e9c7623dfb,Troca,2026-04-03,2026-06-01,2026-06-08,66,2026-04,Troca,61d+
